,Date,Open,High,Low,Close,Volume,WMA,DEMA,ADX.DIp,ADX.DIn,ADX.DX,ADX.ADX,MACD.macd,MACD.signal,CCI,MO,RSI,ATR.tr,ATR.atr,ATR.trueHigh,ATR.trueLow,CLV,CMF,CMO,EMV.emv,EMV.maEMV,MFI,ROC,VHF,SAR,TRIX.TRIX,TRIX.signal,WPR,SNR
1719,2019-05-09,1098.06,1103.02,1092.17,1092.97,1010000000.0,1108.61,1109.21,18.2,28.08,21.35,15.82,0.183,0.395,-171.0,-1.79,26.12,10.85,8.64,1103.02,1092.17,-0.853,-0.108,-41.76,-0.00034,-0.000122,45.49,-0.00518,0.4073,1116.76,0.0481,-0.00857,0.97239,2.14791
1720,2019-05-10,1099.23,1100.9,1088.38,1095.38,1000000000.0,1107.35,1107.02,16.38,28.3,26.69,16.6,0.091,0.334,-183.0,-0.75,30.57,12.52,8.92,1100.9,1088.38,0.118,-0.098,-39.12,-0.00037,-0.000174,37.72,0.0022,0.4199402,1114.79,0.0545,-0.0046,0.78632,2.05476
1721,2019-05-13,1095.02,1097.7,1085.68,1090.33,1120000000.0,1105.61,1104.19,14.84,27.75,30.33,17.58,-0.02,0.263,-194.0,-15.04,25.51,12.02,9.14,1097.7,1085.68,-0.226,-0.133,-43.99,-0.000317,-0.00015,31.42,-0.00462,0.4026053,1112.15,0.0598,-0.00017,0.86887,2.44257
1722,2019-05-14,1084.42,1090.67,1083.06,1086.59,1460000000.0,1103.59,1101.08,13.94,28.16,33.76,18.73,-0.133,0.184,-191.0,-22.22,22.18,7.61,9.03,1090.67,1083.06,-0.0723,-0.144,-47.66,-0.000251,-0.000161,23.5,-0.00344,0.3812957,1108.97,0.0641,0.00461,0.90232,2.34257
1723,2019-05-15,1088.71,1091.29,1078.6,1078.6,1140000000.0,1100.92,1096.95,12.58,28.84,39.24,20.2,-0.279,0.091,-181.0,-26.88,17.23,12.69,9.29,1091.29,1078.6,-1.0,-0.186,-52.99,-0.000214,-0.000229,23.12,-0.00738,0.4040653,1105.34,0.0676,0.00968,1.0,2.96556
1724,2019-05-16,1080.09,1082.52,1067.37,1073.25,1300000000.0,1097.86,1092.43,11.18,33.89,50.38,22.35,-0.43,-0.013,-191.0,-32.17,14.53,15.15,9.71,1082.52,1067.37,-0.224,-0.216,-62.62,-0.00117,-0.000397,16.34,-0.00497,0.50493,1101.07,0.0701,0.0149,0.88655,3.90672
1725,2019-05-17,1076.63,1079.39,1067.11,1068.45,961000000.0,1094.5,1087.69,10.19,31.07,50.61,24.37,-0.578,-0.126,-169.0,-44.07,12.51,12.28,9.89,1079.39,1067.11,-0.782,-0.264,-64.78,-0.000217,-0.000416,11.83,-0.00448,0.5089967,1095.0,0.0712,0.0202,0.97428,4.67068
1726,2019-05-21,1069.54,1076.75,1065.17,1071.6,1150000000.0,1091.65,1084.21,9.35,29.89,52.35,26.37,-0.666,-0.234,-145.0,-42.44,19.42,11.58,10.01,1076.75,1065.17,0.111,-0.281,-54.34,-0.000231,-0.000398,11.63,0.00294,0.5202156,1089.42,0.0707,0.0254,0.88099,4.29551
1727,2019-05-22,1076.35,1084.22,1076.22,1083.04,964000000.0,1090.09,1083.31,13.75,27.24,32.91,26.84,-0.643,-0.316,-84.6,-30.1,39.49,12.62,10.2,1084.22,1071.6,0.705,-0.235,-30.65,0.000769,-0.00026,17.86,0.0106,0.4855135,1084.22,0.0692,0.0304,0.66926,2.43245
1728,2019-05-23,1079.21,1082.57,1069.03,1070.49,1010000000.0,1087.48,1080.3,12.44,29.55,40.75,27.83,-0.71,-0.394,-106.0,-42.54,29.91,14.01,10.47,1083.04,1069.03,-0.784,-0.225,-50.05,-0.000593,-0.000288,11.69,-0.0117,0.4425905,1084.22,0.0663,0.0351,0.90154,2.57328
